Number,Title,Author,Status
3529,Reduction in refunds,"Vitalik Buterin, Martin Swende",Final
3541,Reject new contract code starting with the 0xEF byte,"Alex Beregszaszi, PaweÅ Bylica, Andrei Maiboroda, Alexey Akhunov, Christian Reitwiessner, Martin Swende",Final
3554,Difficulty Bomb Delay to December 2021,James Hancock,Final
3607,Reject transactions from senders with deployed code,"Dankrad Feist, Dmitry Khovratovich, Marius van der Wijden",Final
3643,T-REX - Token for Regulated EXchanges,"Joachim Lebrun, Tony Malghem, Kevin Thizy, Luc Falempin, Adam Boudjemaa",Final
3651,Warm COINBASE,William Morriss,Final
3668,CCIP ReadâSecure offchain data retrieval,Nick Johnson,Final
3675,Upgrade consensus to Proof-of-Stake,"Mikhail Kalinin, Danny Ryan, Vitalik Buterin",Final
3855,PUSH0 instruction,"Alex Beregszaszi, Hugo De la cruz, PaweÅ Bylica",Final
3860,Limit and meter initcode,"Martin Holst Swende, PaweÅ Bylica, Alex Beregszaszi, Andrei Maiboroda",Final
4345,Difficulty Bomb Delay to June 2022,"Tim Beiko, James Hancock, Thomas Jay Rush",Final
4399,Supplant DIFFICULTY opcode with PREVRANDAO,"Mikhail Kalinin, Danny Ryan",Final
4400,EIP-721 Consumable Extension,"Daniel Ivanov, George Spasov",Final
4519,Non-Fungible Tokens Tied to Physical Assets,"Javier Arcenegui, Rosario Arjona, Roberto Román, Iluminada Baturone",Final
4626,Tokenized Vaults,"Joey Santoro, t11s, Jet Jadeja, Alberto Cuesta Caí±ada, Seí±or Doggo",Final
4736,Consensus Layer Withdrawal Protection,"Benjamin Chodroff, Jim McDonald",Final
4788,Beacon block root in the EVM,"Alex Stokes, Ansgar Dietrichs, Danny Ryan, Martin Holst Swende, lightclient",Final
4804,Web3 URL to EVM Call Message Translation,"Qi Zhou, Chao Pi, Sam Wilson",Final
4834,Hierarchical Domains,Gavin John,Final
4844,Shard Blob Transactions,"Vitalik Buterin, Dankrad Feist, Diederik Loerakker, George Kadianakis, Matt Garnett, Mofi Taiwo, Ansgar Dietrichs",Final
4881,Deposit Contract Snapshot Interface,Mark Mackey,Final
4895,Beacon chain push withdrawals as operations,"Alex Stokes, Danny Ryan",Final
4906,EIP-721 Metadata Update Extension,"Anders, Lance, Shrug, Nathan",Final
4907,"Rental NFT, an Extension of EIP-721","Anders, Lance, Shrug",Final
4910,Royalty Bearing NFTs,Andreas Freund,Final
4938,eth/67 - Removal of GetNodeData,"Marius van der Wijden, Felix Lange, Gary Rong",Final
4955,Vendor Metadata Extension for NFTs,Ignacio Mazzara,Final
5006,"Rental NFT, NFT User Extension","Lance, Anders, Shrug",Final
5007,"Time NFT, ERC-721 Time Extension","Anders, Lance, Shrug",Final
5023,Shareable Non-Fungible Token,"Jarno Marttila, Martin Moravek",Final
5133,Delaying Difficulty Bomb to mid-September 2022,"Tomasz Kajetan Stanczak, Eric Marti Haynes, Josh Klopfenstein, Abhimanyu Nag",Final
5169,Client Script URI for Token Contracts,"James, Weiwu",Final
5192,Minimal Soulbound NFTs,"Tim Daubenschütz, Anders",Final
5202,Blueprint contract format,"Charles Cooper, Edward Amor",Final
5219,Contract Resource Requests,Gavin John,Final
5267,Retrieval of EIP-712 domain,Francisco Giordano,Final
5313,Light Contract Ownership,William Entriken,Final
5375,NFT Author Information and Consent,"Samuele Marro, Luca Donno",Final
5380,ERC-721 Entitlement Extension,"Gavin John, Tim Daubenschütz",Final
5484,Consensual Soulbound Tokens,Buzz Cai,Final
5489,NFT Hyperlink Extension,IronMan_CH,Final
5507,Refundable Tokens,"elie222, Gavin John",Final
5521,Referable NFT,"Saber Yu, Qin Wang, Shange Fu, Yilin Sai, Shiping Chen, Sherry Xu, Jiangshan Yu",Final
5528,Refundable Fungible Token,StartfundInc,Final
5564,Stealth Addresses,"Toni Wahrstí¤tter, Matt Solomon, Ben DiFrancesco, Vitalik Buterin",Final
5570,Digital Receipt Non-Fungible Tokens,Sean Darcy,Final
5585,ERC-721 NFT Authorization,"Veega Labs, Sean NG, Tiger, Fred, Fov Cao",Final
5606,Multiverse NFTs,"Gaurang Torvekar, Khemraj Adhawade, Nikhil Asrani",Final
5615,ERC-1155 Supply Extension,Gavin John,Final
5625,NFT Metadata JSON Schema dStorage Extension,"Gavin Fu, Leo Wang, Bova Chen, Guang Han, Brian Wu",Final
5646,Token State Fingerprint,Naim Ashhab,Final
5656,MCOPY - Memory copying instruction,"Alex Beregszaszi, Paul Dworzanski, Jared Wasinger, Casey Detrio, Pawel Bylica, Charles Cooper",Final
5679,Token Minting and Burning,Zainan Victor Zhou,Final
5725,Transferable Vesting NFT,"Apeguru, Marco De Vries, Mario, DeFiFoFum, Elliott Green",Final
5732,Commit Interface,"Zainan Victor Zhou, Matt Stam",Final
5749,The 'window.evmproviders' object,Kosala Hemachandra,Final
5750,General Extensibility for Method Behaviors,Zainan Victor Zhou,Final
5757,Process for Approving External Resources,Sam Wilson,Final
5773,Context-Dependent Multi-Asset Tokens,"Bruno Å kvorc, Cicada, Steven Pineda, Stevan Bogosavljevic, Jan Turk",Final
5793,eth/68 - Add tx type to tx announcement,Marius van der Wijden,Final
6049,Deprecate SELFDESTRUCT,William Entriken,Final
6059,Parent-Governed Nestable Non-Fungible Tokens,"Bruno Å kvorc, Cicada, Steven Pineda, Stevan Bogosavljevic, Jan Turk",Final
6066,Signature Validation Method for NFTs,Jack Boyuan Xu,Final
6105,No Intermediary NFT Trading Protocol,"5660-eth, Silvere Heraudeau, Martin McConnell, Abu, Wizard Wang",Final
6122,Forkid checks based on timestamps,Marius van der Wijden,Final
6147,"Guard of NFT/SBT, an Extension of ERC-721","5660-eth, Wizard Wang",Final
6150,Hierarchical NFTs,"Keegan Lee, msfew, Kartin, qizhou",Final
6220,Composable NFTs utilizing Equippable Parts,"Bruno Å kvorc, Cicada, Steven Pineda, Stevan Bogosavljevic, Jan Turk",Final
6239,Semantic Soulbound Tokens,Jessica Chang,Final
6381,Public Non-Fungible Token Emote Repository,"Bruno Å kvorc, Steven Pineda, Stevan Bogosavljevic, Jan Turk",Final
6454,Minimal Transferable NFT detection interface,"Bruno Å kvorc, Francesco Sullo, Steven Pineda, Stevan Bogosavljevic, Jan Turk",Final
6492,Signature Validation for Predeploy Contracts,"Ivo Georgiev, Agustin Aguilar",Final
6538,Stealth Meta-Address Registry,"Matt Solomon, Toni Wahrstí¤tter, Ben DiFrancesco, Vitalik Buterin, Gary Ghayrat",Final
6672,Multi-redeemable NFTs,"RE:DREAMER Lab, Archie Chang , Kai Yu , Yonathan Randyanto , Boyu Chu , Boxi Li , Jason Cheng ",Final
6780,SELFDESTRUCT only in same transaction,"Guillaume Ballet, Vitalik Buterin, Dankrad Feist",Final
6808,Fungible Key Bound Token,"Mihai Onila, Nick Zeman, Narcis Cotaie",Final
6809,Non-Fungible Key Bound Token,"Mihai Onila, Nick Zeman, Narcis Cotaie",Final
6953,Network Upgrade Activation Triggers,Tim Beiko,Final
